"Date","Price","Open","High","Low","Vol.","Change %"
"10/11/2013","1.2352","1.2331","1.2357","1.2306","","0.19%"
"10/10/2013","1.2328","1.2309","1.2332","1.2298","","0.16%"
"10/09/2013","1.2308","1.2269","1.2323","1.2260","","0.35%"
"10/08/2013","1.2265","1.2261","1.2300","1.2256","","0.03%"
"10/07/2013","1.2261","1.2298","1.2312","1.2248","","-0.30%"
"10/04/2013","1.2298","1.2250","1.2304","1.2233","","0.47%"
"10/03/2013","1.2240","1.2258","1.2286","1.2229","","-0.11%"
"10/02/2013","1.2254","1.2249","1.2273","1.2218","","0.09%"
"10/01/2013","1.2243","1.2241","1.2273","1.2214","","0.05%"
"09/30/2013","1.2237","1.2218","1.2250","1.2207","","-0.05%"
"09/27/2013","1.2243","1.2277","1.2284","1.2234","","-0.25%"
"09/26/2013","1.2274","1.2298","1.2316","1.2269","","-0.16%"
"09/25/2013","1.2294","1.2300","1.2315","1.2283","","0.01%"
"09/24/2013","1.2293","1.2292","1.2310","1.2280","","0.03%"
"09/23/2013","1.2289","1.2331","1.2340","1.2274","","-0.14%"
"09/20/2013","1.2306","1.2321","1.2336","1.2300","","-0.10%"
"09/19/2013","1.2318","1.2332","1.2359","1.2307","","-0.11%"
"09/18/2013","1.2331","1.2371","1.2383","1.2305","","-0.28%"
"09/17/2013","1.2366","1.2365","1.2389","1.2352","","0.05%"
"09/16/2013","1.2360","1.2377","1.2384","1.2331","","0.01%"
"09/13/2013","1.2359","1.2377","1.2394","1.2355","","-0.09%"
"09/12/2013","1.2370","1.2384","1.2395","1.2349","","-0.08%"
"09/11/2013","1.2380","1.2405","1.2424","1.2367","","-0.17%"
"09/10/2013","1.2401","1.2358","1.2408","1.2353","","0.37%"
"09/09/2013","1.2355","1.2353","1.2376","1.2334","","0.04%"
"09/06/2013","1.2350","1.2399","1.2405","1.2321","","-0.33%"
"09/05/2013","1.2391","1.2354","1.2407","1.2348","","0.33%"
"09/04/2013","1.2350","1.2333","1.2372","1.2328","","0.14%"
"09/03/2013","1.2333","1.2328","1.2348","1.2302","","0.06%"
"09/02/2013","1.2325","1.2307","1.2337","1.2296","","0.25%"
"08/30/2013","1.2294","1.2327","1.2335","1.2279","","-0.19%"
"08/29/2013","1.2318","1.2300","1.2333","1.2292","","0.17%"
"08/28/2013","1.2297","1.2291","1.2305","1.2274","","0.11%"
"08/27/2013","1.2283","1.2343","1.2346","1.2277","","-0.41%"
"08/26/2013","1.2333","1.2338","1.2361","1.2321","","0.04%"
"08/23/2013","1.2328","1.2331","1.2366","1.2317","","0.00%"
"08/22/2013","1.2328","1.2321","1.2363","1.2311","","0.10%"
"08/21/2013","1.2316","1.2307","1.2337","1.2281","","0.10%"
"08/20/2013","1.2304","1.2323","1.2342","1.2272","","-0.11%"
"08/19/2013","1.2318","1.2348","1.2377","1.2311","","-0.23%"
"08/16/2013","1.2347","1.2361","1.2387","1.2327","","-0.06%"
"08/15/2013","1.2355","1.2405","1.2443","1.2334","","-0.36%"
"08/14/2013","1.2400","1.2374","1.2431","1.2365","","0.24%"
"08/13/2013","1.2370","1.2313","1.2389","1.2307","","0.51%"
"08/12/2013","1.2307","1.2313","1.2335","1.2293","","-0.03%"
"08/09/2013","1.2311","1.2315","1.2322","1.2290","","0.01%"
"08/08/2013","1.2310","1.2294","1.2322","1.2277","","0.16%"
"08/07/2013","1.2290","1.2321","1.2332","1.2279","","-0.24%"
"08/06/2013","1.2319","1.2296","1.2333","1.2269","","0.20%"
"08/05/2013","1.2295","1.2345","1.2363","1.2288","","-0.36%"
"08/02/2013","1.2339","1.2376","1.2403","1.2314","","-0.26%"
"08/01/2013","1.2371","1.2322","1.2382","1.2300","","0.44%"
"07/31/2013","1.2317","1.2331","1.2369","1.2302","","-0.11%"
"07/30/2013","1.2330","1.2351","1.2358","1.2319","","-0.09%"
"07/29/2013","1.2341","1.2329","1.2355","1.2316","","0.13%"
"07/26/2013","1.2325","1.2345","1.2353","1.2310","","-0.11%"
"07/25/2013","1.2339","1.2375","1.2389","1.2333","","-0.27%"
"07/24/2013","1.2372","1.2359","1.2408","1.2353","","0.11%"
"07/23/2013","1.2358","1.2347","1.2400","1.2338","","0.13%"
"07/22/2013","1.2342","1.2371","1.2391","1.2320","","-0.15%"
"07/19/2013","1.2361","1.2384","1.2391","1.2347","","-0.16%"
"07/18/2013","1.2381","1.2351","1.2397","1.2340","","0.27%"
"07/17/2013","1.2348","1.2360","1.2380","1.2316","","-0.07%"
"07/16/2013","1.2357","1.2388","1.2414","1.2353","","-0.22%"
"07/15/2013","1.2384","1.2374","1.2414","1.2348","","0.15%"
"07/12/2013","1.2366","1.2403","1.2413","1.2322","","-0.27%"
"07/11/2013","1.2399","1.2434","1.2472","1.2363","","-0.25%"
"07/10/2013","1.2430","1.2432","1.2458","1.2404","","0.03%"
"07/09/2013","1.2426","1.2402","1.2470","1.2392","","0.22%"
