"Date","Price","Open","High","Low","Vol.","Change %"
"05/29/2014","138.44","138.41","138.57","137.95","","0.04%"
"05/28/2014","138.38","139.06","139.15","138.27","","-0.45%"
"05/27/2014","139.01","139.13","139.40","138.80","","-0.06%"
"05/26/2014","139.10","138.95","139.15","138.72","","0.07%"
"05/23/2014","139.00","138.93","139.08","138.59","","0.08%"
"05/22/2014","138.89","138.71","139.15","138.63","","0.13%"
"05/21/2014","138.71","138.85","138.95","138.13","","-0.07%"
"05/20/2014","138.81","139.16","139.34","138.53","","-0.22%"
"05/19/2014","139.11","139.14","139.30","138.59","","0.11%"
"05/16/2014","138.96","139.26","139.47","138.76","","-0.20%"
"05/15/2014","139.24","139.77","139.91","138.96","","-0.33%"
"05/14/2014","139.70","140.13","140.31","139.44","","-0.29%"
"05/13/2014","140.10","140.50","140.97","139.96","","-0.26%"
"05/12/2014","140.46","140.02","140.67","139.95","","0.24%"
"05/09/2014","140.12","140.70","140.85","139.87","","-0.40%"
"05/08/2014","140.68","141.79","142.40","140.51","","-0.75%"
"05/07/2014","141.75","141.63","142.02","141.14","","0.12%"
"05/06/2014","141.58","141.74","142.13","141.33","","-0.08%"
"05/05/2014","141.70","141.75","142.03","141.28","","-0.01%"
"05/02/2014","141.72","141.94","142.41","141.62","","-0.13%"
"05/01/2014","141.91","141.81","142.06","141.65","","0.10%"
"04/30/2014","141.77","141.76","142.20","141.12","","0.04%"
"04/29/2014","141.71","141.96","142.51","141.57","","-0.15%"
"04/28/2014","141.92","141.33","142.17","140.99","","0.45%"
"04/25/2014","141.28","141.53","141.78","141.01","","-0.14%"
"04/24/2014","141.48","141.69","141.83","141.03","","-0.13%"
"04/23/2014","141.66","141.67","142.03","141.17","","0.03%"
"04/22/2014","141.62","141.54","141.81","141.20","","0.08%"
"04/21/2014","141.51","141.57","141.84","141.38","","0.06%"
"04/18/2014","141.43","141.45","141.69","141.37","","0.00%"
"04/17/2014","141.43","141.25","141.67","140.98","","0.16%"
"04/16/2014","141.21","140.82","141.78","140.63","","0.32%"
"04/15/2014","140.76","140.75","140.93","140.22","","0.05%"
"04/14/2014","140.69","140.67","140.97","140.40","","-0.28%"
"04/11/2014","141.08","141.00","141.57","140.63","","0.08%"
"04/10/2014","140.97","141.31","141.58","140.59","","-0.22%"
"04/09/2014","141.28","140.47","141.37","140.42","","0.62%"
"04/08/2014","140.41","141.69","141.76","140.06","","-0.88%"
"04/07/2014","141.65","141.51","141.93","141.11","","0.10%"
"04/04/2014","141.51","142.58","142.67","141.37","","-0.72%"
"04/03/2014","142.54","143.01","143.49","142.28","","-0.29%"
"04/02/2014","142.96","142.96","143.51","142.71","","0.01%"
"04/01/2014","142.94","142.14","143.10","141.98","","0.60%"
"03/31/2014","142.09","141.46","142.64","141.30","","0.50%"
"03/28/2014","141.38","140.41","141.68","139.95","","0.72%"
